product_id,product_name,category,brand,unit_price,stock_quantity,weight_kg
P0044,Aster Tablet 044,Tablet,Aster,75213.3,143,0.596
P0045,Pioneer Laptop 045,Laptop,Pioneer,57757.59,50,0.666
P0046,Vertex Storage 046,Storage,Vertex,80266.5,61,4.716
P0047,Nimbus Monitor 047,Monitor,Nimbus,12798.4,199,6.86
P0048,Pioneer Laptop 048,Laptop,Pioneer,55953.92,38,7.726
P0049,Aster Monitor 049,Monitor,Aster,10012.63,175,7.501
P0050,Orion Tablet 050,Tablet,Orion,39855.49,53,2.104
P0051,Nova Laptop 051,Laptop,Nova,29803.2,74,5.099
P0052,Nimbus Tablet 052,Tablet,Nimbus,41730.71,88,7.449
P0053,Aster Phone 053,Phone,Aster,31926.04,73,0.856
P0054,Orion Tablet 054,Tablet,Orion,48468.47,13,2.69
P0055,Pioneer Laptop 055,Laptop,Pioneer,54817.27,192,7.75
P0056,Aster Monitor 056,Monitor,Aster,81145.92,105,6.479
P0057,Orion Accessory 057,Accessory,Orion,80374.68,237,0.452
P0058,Orion Tablet 058,Tablet,Orion,27976.29,72,4.421
P0059,Pioneer Laptop 059,Laptop,Pioneer,81232.4,202,6.616
P0060,Vertex Laptop 060,Laptop,Vertex,12267.22,126,6.309
P0061,Nimbus Laptop 061,Laptop,Nimbus,43631.08,35,7.684
P0062,Orion Storage 062,Storage,Orion,28314.1,173,2.285
P0063,Aster Phone 063,Phone,Aster,4698.85,214,0.189
P0064,Nimbus Storage 064,Storage,Nimbus,59520.28,105,0.446
P0065,Nimbus Monitor 065,Monitor,Nimbus,55791.66,46,6.96
P0066,Pioneer Laptop 066,Laptop,Pioneer,16637.38,217,7.802
P0067,Aster Tablet 067,Tablet,Aster,46530.19,38,2.706
P0068,Vertex Phone 068,Phone,Vertex,5643.2,236,7.963
P0069,Pioneer Laptop 069,Laptop,Pioneer,80954.68,157,7.888
P0070,Nimbus Monitor 070,Monitor,Nimbus,18085.01,27,2.296
P0071,Nimbus Storage 071,Storage,Nimbus,42263.25,127,0.622
P0072,Nimbus Tablet 072,Tablet,Nimbus,21672.46,209,0.218
P0073,Nova Monitor 073,Monitor,Nova,57985.36,65,7.908
P0074,Orion Laptop 074,Laptop,Orion,5046.61,153,6.193
P0075,Vertex Laptop 075,Laptop,Vertex,11176.0,199,2.993
P0076,Pioneer Tablet 076,Tablet,Pioneer,78235.73,140,4.393
P0077,Vertex Accessory 077,Accessory,Vertex,84096.63,89,7.579
P0078,Vertex Accessory 078,Accessory,Vertex,12978.63,100,1.354
P0079,Orion Storage 079,Storage,Orion,68057.04,234,0.975
P0080,Vertex Tablet 080,Tablet,Vertex,62014.03,0,5.884
P0081,Vertex Laptop 081,Laptop,Vertex,28150.98,112,4.236
P0082,Orion Phone 082,Phone,Orion,717.27,181,2.04
P0083,Nova Monitor 083,Monitor,Nova,33538.2,61,7.898
P0084,Nimbus Tablet 084,Tablet,Nimbus,14161.59,200,7.695
P0085,Nova Phone 085,Phone,Nova,77918.62,10,4.418
P0086,Vertex Storage 086,Storage,Vertex,11002.36,239,7.065
P0087,Vertex Laptop 087,Laptop,Vertex,49611.19,166,7.382
P0088,Vertex Tablet 088,Tablet,Vertex,65912.66,37,2.42
P0089,Nova Monitor 089,Monitor,Nova,62682.87,216,3.019
P0090,Orion Tablet 090,Tablet,Orion,14211.94,190,1.585
P0091,Nimbus Accessory 091,Accessory,Nimbus,392.85,183,1.221
P0092,Orion Monitor 092,Monitor,Orion,45775.07,134,0.243
P0093,Nova Monitor 093,Monitor,Nova,21425.37,216,1.043
P0094,Nova Phone 094,Phone,Nova,74369.33,250,1.73
P0095,Pioneer Laptop 095,Laptop,Pioneer,12677.0,129,0.532
P0096,Aster Accessory 096,Accessory,Aster,37700.19,244,1.983
P0097,Aster Phone 097,Phone,Aster,33767.45,19,4.982
P0098,Nimbus Laptop 098,Laptop,Nimbus,58856.55,161,1.568
P0099,Vertex Storage 099,Storage,Vertex,3549.65,43,7.614
P0100,Vertex Phone 100,Phone,Vertex,71361.78,32,3.801
P0101,Aster Storage 101,Storage,Aster,21103.37,184,1.799
P0102,Orion Monitor 102,Monitor,Orion,62844.3,94,4.522
P0103,Aster Laptop 103,Laptop,Aster,12794.33,21,0.488
P0104,Pioneer Storage 104,Storage,Pioneer,10292.72,31,2.167
P0105,Pioneer Accessory 105,Accessory,Pioneer,74126.65,96,4.083
P0106,Pioneer Tablet 106,Tablet,Pioneer,13739.83,185,1.055
P0107,Nova Laptop 107,Laptop,Nova,24666.73,59,6.395
P0108,Pioneer Storage 108,Storage,Pioneer,69744.57,237,6.671
P0109,Nova Phone 109,Phone,Nova,53069.14,183,1.713
P0110,Aster Phone 110,Phone,Aster,66692.8,135,1.396
P0111,Vertex Accessory 111,Accessory,Vertex,63732.22,31,7.485
P0112,Pioneer Tablet 112,Tablet,Pioneer,46095.01,44,4.166
P0113,Pioneer Accessory 113,Accessory,Pioneer,41540.71,224,3.938
P0114,Nimbus Tablet 114,Tablet,Nimbus,83595.45,185,4.804
P0115,Orion Tablet 115,Tablet,Orion,5911.15,159,2.659
P0116,Nimbus Tablet 116,Tablet,Nimbus,5851.56,226,4.483
P0117,Vertex Phone 117,Phone,Vertex,52432.43,9,6.23
P0118,Nova Accessory 118,Accessory,Nova,29911.48,206,5.292
P0119,Nova Storage 119,Storage,Nova,16352.65,147,5.6
P0120,Nova Storage 120,Storage,Nova,46375.01,130,1.727
P0121,Aster Laptop 121,Laptop,Aster,41616.35,138,6.405
P0122,Aster Phone 122,Phone,Aster,35582.68,83,1.673
P0123,Pioneer Phone 123,Phone,Pioneer,71263.78,107,2.527
P0124,Vertex Laptop 124,Laptop,Vertex,23056.97,222,5.798
P0125,Vertex Storage 125,Storage,Vertex,29202.5,23,5.804
P0126,Pioneer Storage 126,Storage,Pioneer,10283.82,21,2.957
P0127,Nimbus Phone 127,Phone,Nimbus,70359.85,145,1.669
P0128,Vertex Laptop 128,Laptop,Vertex,46145.06,239,5.796
P0129,Aster Laptop 129,Laptop,Aster,9955.09,97,3.297
P0130,Pioneer Phone 130,Phone,Pioneer,45119.65,187,7.352
P0131,Nova Accessory 131,Accessory,Nova,14265.43,43,7.743
P0132,Aster Laptop 132,Laptop,Aster,5966.24,87,3.308
P0133,Aster Phone 133,Phone,Aster,18604.14,157,2.12
P0134,Vertex Tablet 134,Tablet,Vertex,34673.14,233,7.323
P0135,Vertex Laptop 135,Laptop,Vertex,51808.1,99,0.925
P0136,Aster Monitor 136,Monitor,Aster,9779.62,63,7.184
P0137,Pioneer Accessory 137,Accessory,Pioneer,50903.65,192,6.597
P0138,Nova Phone 138,Phone,Nova,40219.73,138,5.277
P0139,Orion Tablet 139,Tablet,Orion,84501.76,155,3.178
P0140,Aster Phone 140,Phone,Aster,37426.07,166,1.812
P0141,Pioneer Phone 141,Phone,Pioneer,41456.5,1,7.823
P0142,Nimbus Phone 142,Phone,Nimbus,22694.94,6,7.316
P0143,Orion Storage 143,Storage,Orion,36418.96,129,2.163
P0144,Vertex Tablet 144,Tablet,Vertex,73995.47,245,4.514
P0145,Pioneer Storage 145,Storage,Pioneer,51925.75,161,2.959
P0146,Nova Phone 146,Phone,Nova,41043.93,90,4.622
P0147,Pioneer Tablet 147,Tablet,Pioneer,29647.33,218,6.315
P0148,Nova Laptop 148,Laptop,Nova,51102.5,81,0.611
P0149,Vertex Accessory 149,Accessory,Vertex,61528.72,161,0.999
P0150,Nova Accessory 150,Accessory,Nova,41707.01,4,2.921
P0151,Nova Tablet 151,Tablet,Nova,71852.02,123,3.603
P0152,Pioneer Storage 152,Storage,Pioneer,23845.89,78,6.92
P0153,Nimbus Accessory 153,Accessory,Nimbus,46896.41,45,5.697
P0154,Orion Phone 154,Phone,Orion,80553.53,70,3.632
P0155,Aster Laptop 155,Laptop,Aster,43539.58,65,0.216
P0156,Pioneer Storage 156,Storage,Pioneer,50915.38,108,1.984
P0157,Orion Phone 157,Phone,Orion,28206.03,40,1.268
P0158,Aster Phone 158,Phone,Aster,69669.1,15,4.114
P0159,Pioneer Tablet 159,Tablet,Pioneer,30541.96,181,7.007
P0160,Vertex Tablet 160,Tablet,Vertex,41445.84,65,7.785
P0161,Orion Accessory 161,Accessory,Orion,29462.7,87,4.825
P0162,Aster Laptop 162,Laptop,Aster,80594.35,127,2.906
P0163,Nova Accessory 163,Accessory,Nova,62025.89,204,6.227
P0164,Pioneer Monitor 164,Monitor,Pioneer,13090.71,101,6.23
P0165,Aster Storage 165,Storage,Aster,4290.65,182,4.997
P0166,Aster Phone 166,Phone,Aster,46890.17,28,5.314
P0167,Nimbus Monitor 167,Monitor,Nimbus,22940.74,4,4.975
P0168,Nimbus Monitor 168,Monitor,Nimbus,67989.15,227,0.659
P0169,Nova Tablet 169,Tablet,Nova,73951.77,249,1.234
P0170,Orion Storage 170,Storage,Orion,55114.8,100,0.136
P0171,Nimbus Phone 171,Phone,Nimbus,27134.66,69,7.063
P0172,Vertex Tablet 172,Tablet,Vertex,50087.6,182,1.674
P0173,Orion Storage 173,Storage,Orion,7417.14,93,7.567
P0174,Pioneer Laptop 174,Laptop,Pioneer,51951.98,215,5.032
P0175,Pioneer Storage 175,Storage,Pioneer,10300.47,108,7.272
P0176,Vertex Laptop 176,Laptop,Vertex,81827.08,4,7.349
P0177,Orion Monitor 177,Monitor,Orion,73884.71,172,2.641
P0178,Nimbus Accessory 178,Accessory,Nimbus,56681.48,148,7.346
P0179,Vertex Storage 179,Storage,Vertex,15367.32,164,7.718
P0180,Nova Monitor 180,Monitor,Nova,18544.16,140,7.247
P0181,Nova Monitor 181,Monitor,Nova,7115.6,176,4.869
P0182,Orion Accessory 182,Accessory,Orion,21320.26,80,4.28
P0183,Pioneer Monitor 183,Monitor,Pioneer,41076.03,237,2.572
P0184,Aster Accessory 184,Accessory,Aster,27776.39,1,0.811
P0185,Orion Accessory 185,Accessory,Orion,58137.55,11,2.618
P0186,Pioneer Laptop 186,Laptop,Pioneer,21154.44,183,6.156
P0187,Nimbus Monitor 187,Monitor,Nimbus,18058.89,2,5.245
P0188,Nimbus Accessory 188,Accessory,Nimbus,25731.7,79,7.336
P0189,Orion Storage 189,Storage,Orion,68921.43,225,0.159
P0190,Pioneer Storage 190,Storage,Pioneer,61992.82,235,7.248
P0191,Orion Phone 191,Phone,Orion,18543.06,203,0.432
P0192,Orion Accessory 192,Accessory,Orion,46546.53,15,0.693
P0193,Vertex Phone 193,Phone,Vertex,46990.44,86,4.573
P0194,Orion Tablet 194,Tablet,Orion,75773.05,139,1.909
P0195,Vertex Phone 195,Phone,Vertex,59063.1,202,0.908
P0196,Aster Monitor 196,Monitor,Aster,82359.94,115,2.975
P0197,Nimbus Phone 197,Phone,Nimbus,46759.87,96,6.597
P0198,Nova Accessory 198,Accessory,Nova,72644.77,111,7.989
P0199,Orion Storage 199,Storage,Orion,12056.66,52,2.475
P0200,Vertex Tablet 200,Tablet,Vertex,47470.34,99,2.177
